tag_id,name,category,count,aliases,is_core,is_attire
2355,ponytail,0,713752,"[""ponytail"", ""long_ponytail"", ""pony_tail""]",True,False
11449,weapon,0,610247,"[""weapon"", ""weapons""]",False,False
11429,pink_hair,0,715785,"[""pink_hair"", ""/pinkh"", ""magenta_hair"", ""pinkhair""]",True,False
16442,purple_hair,0,665971,"[""purple_hair"", ""lavender_hair"", ""/purpleh"", ""violet_hair"", ""purple-hair"", ""purplehair""]",True,False
8101,ass,0,605812,"[""ass"", ""butt_cheeks"", ""rearend"", ""buttocks"", ""butt"", ""oshiri""]",False,False
4334,braid,0,646486,"[""braid"", ""hair_braid"", ""braided_hair"", ""braids""]",True,False
464559,flower,0,639071,"[""flower"", ""flowers""]",False,False
63,comic,0,552142,"[""comic"", ""manga"", ""comics""]",False,False
3522,ahoge,0,668124,"[""ahoge""]",True,False
16581,white_hair,0,725458,"[""white_hair"", ""whitehair""]",True,False
472154,short_sleeves,0,640149,"[""short_sleeves"", ""/ssleeves""]",False,True
384553,:d,0,565629,"["":d""]",False,False
622137,hetero,0,559583,"[""hetero""]",False,False
374844,hair_bow,0,546603,"[""hair_bow"", ""hairbow"", ""hair_bows""]",True,True
513837,greyscale,0,513036,"[""greyscale"", ""black_and_white"", ""b&w"", ""grayscale""]",False,False
16580,grey_hair,0,706358,"[""grey_hair"", ""gray_hair""]",True,False
1300281,male_focus,0,738211,"[""male_focus"", ""guys_only"", ""boys_only"", ""male"", ""man"", ""male_only"", ""men""]",False,False
2750,heart,0,600470,"[""heart"", ""hearts"", ""<3""]",False,False
2363,pantyhose,0,548011,"[""pantyhose"", ""tights"", ""panty_hose""]",False,True
484168,sidelocks,0,636870,"[""sidelocks"", ""payot"", ""forelocks""]",True,False
6539,bikini,0,511379,"[""bikini""]",False,True
3870,thighs,0,581683,"[""thighs"", ""thigh""]",False,False
2365,nude,0,507071,"[""nude"", ""naked""]",False,True
5403,red_hair,0,536087,"[""red_hair"", ""/redh"", ""redhead"", ""red_head"", ""redhair""]",True,False
390728,multicolored_hair,0,719259,"[""multicolored_hair"", ""multicolor_hair""]",True,False
660909,cowboy_shot,0,577599,"[""cowboy_shot""]",False,False
4569,sweat,0,538802,"[""sweat"", ""sweating""]",False,False
383282,pleated_skirt,0,512934,"[""pleated_skirt""]",False,True
2376,hairband,0,487002,"[""hairband"", ""hair_band""]",True,True
13804,earrings,0,579737,"[""earrings"", ""grey_earrings"", ""black_earrings"", ""white_earrings"", ""yellow_earrings"", ""green_earrings"", ""aqua_earrings"", ""purple_earrings"", ""pink_earrings"", ""brown_earrings"", ""red_earrings"", ""blue_earrings"", ""ear_rings"", ""ear_ring"", ""earring""]",True,True
465265,small_breasts,0,506758,"[""small_breasts""]",True,False
5827,boots,0,467717,"[""boots"", ""naked_boots"", ""boot""]",False,True
13879,outdoors,0,554303,"[""outdoors"", ""outside"", ""outdoor""]",False,False
301022,lying,0,457990,"[""lying"", ""lying_down"", ""laying_down"", ""laying""]",False,False
4352,censored,0,468074,"[""censored"", ""censoring"", ""censor""]",False,False
194013,frills,0,512464,"[""frills"", ""frilled"", ""ruffles"", ""frill"", ""frilly""]",False,True
664375,parted_lips,0,509302,"[""parted_lips""]",False,False
387884,detached_sleeves,0,436671,"[""detached_sleeves"", ""detached_sleeve"", ""naked_sleeves"", ""/dsleeves"", ""armsleeves""]",False,True
461042,one_eye_closed,0,444140,"[""one_eye_closed"", ""wink""]",False,False
1575,food,0,455614,"[""food""]",False,False
1707,japanese_clothes,0,407083,"[""japanese_clothes"", ""traditional_japanese_clothes"", ""japanese_clothing"", ""wafuku""]",False,True
8388,green_hair,0,428998,"[""green_hair"", ""/greenh"", ""greenhair""]",True,False
568656,multiple_boys,0,480587,"[""multiple_boys"", ""/nboys""]",False,False
375669,open_clothes,0,510919,"[""open_clothes"", ""open_clothing""]",False,True
2866,wings,0,446840,"[""wings"", ""wing""]",True,False
384774,necktie,0,458516,"[""necktie"", ""neck_tie"", ""tie""]",False,True
2785,horns,0,476749,"[""horns""]",True,False
406,sky,0,446696,"[""sky"", ""sky_background""]",False,False
4190,penis,0,420171,"[""penis"", ""cocks"", ""dick"", ""dicks"", ""cock""]",False,False
8672,shoes,0,427349,"[""shoes"", ""shoe""]",False,True
6532,glasses,0,375926,"[""glasses"", ""meganeko"", ""megane"", ""meganekko""]",True,True
3985,shorts,0,456816,"[""shorts"", ""short_pants""]",False,True
11826,barefoot,0,379374,"[""barefoot"", ""barefeet"", ""bare_foot"", ""bare_feet""]",False,True
6054,teeth,0,512516,"[""teeth"", ""bared_teeth""]",False,False
